epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3208.04,1.15128,0.722,1.59488,0.84383,0.84013,0.90793,0.49608,1.57208,0.8109,2.07071,0.000371375,0.000371375,0.000371375
73,3248.33,1.15432,0.72811,1.59276,0.87609,0.81045,0.91293,0.50705,1.53832,0.77775,2.03565,0.000359,0.000359,0.000359
74,3290.98,1.11173,0.69438,1.58479,0.85625,0.80892,0.91695,0.50883,1.54336,0.77116,2.06122,0.000346625,0.000346625,0.000346625
75,3332.89,1.11175,0.69128,1.5723,0.80283,0.88621,0.90571,0.49311,1.5654,0.81402,2.05624,0.00033425,0.00033425,0.00033425
76,3375.54,1.11626,0.70263,1.58181,0.85182,0.8764,0.91692,0.50335,1.55852,0.77574,2.07625,0.000321875,0.000321875,0.000321875
77,3415.78,1.13384,0.69583,1.59133,0.89906,0.83371,0.9056,0.50274,1.53866,0.76244,2.03215,0.0003095,0.0003095,0.0003095
78,3455.78,1.12774,0.70096,1.58596,0.80493,0.87809,0.911,0.51643,1.51333,0.77677,2.02335,0.000297125,0.000297125,0.000297125
79,3499.38,1.11737,0.681,1.58602,0.79265,0.86333,0.90522,0.51417,1.51361,0.80836,2.03071,0.00028475,0.00028475,0.00028475
80,3539.41,1.12294,0.7046,1.5851,0.87292,0.83556,0.91351,0.51545,1.5033,0.76981,2.00208,0.000272375,0.000272375,0.000272375
81,3582.43,1.11125,0.69007,1.57021,0.82601,0.87115,0.91438,0.51252,1.52024,0.77454,2.02422,0.00026,0.00026,0.00026
82,3622.26,1.12014,0.67637,1.58239,0.86763,0.86701,0.92491,0.51532,1.53409,0.74936,2.04351,0.000247625,0.000247625,0.000247625
83,3662.35,1.11048,0.67445,1.56878,0.83867,0.87189,0.92196,0.53458,1.50814,0.78165,2.01486,0.00023525,0.00023525,0.00023525
84,3707.32,1.12413,0.69276,1.57522,0.85389,0.86063,0.92202,0.51294,1.52993,0.74464,2.0361,0.000222875,0.000222875,0.000222875
85,3747.66,1.09739,0.67517,1.56073,0.84936,0.88702,0.92162,0.50677,1.56054,0.78298,2.06877,0.0002105,0.0002105,0.0002105
86,3788.22,1.10465,0.67133,1.5657,0.861,0.85269,0.91402,0.50648,1.55047,0.74935,2.06382,0.000198125,0.000198125,0.000198125
87,3828.9,1.10225,0.66403,1.56674,0.83969,0.88211,0.91335,0.50829,1.51893,0.76441,2.02756,0.00018575,0.00018575,0.00018575
88,3870.54,1.10232,0.67164,1.5657,0.80508,0.91608,0.9182,0.51154,1.53618,0.74856,2.04358,0.000173375,0.000173375,0.000173375
89,3912.31,1.08224,0.64813,1.55728,0.86825,0.86757,0.92455,0.52316,1.50178,0.75052,2.00442,0.000161,0.000161,0.000161
90,3953.18,1.09414,0.66659,1.56256,0.83227,0.898,0.92614,0.52219,1.53487,0.72275,2.05201,0.000148625,0.000148625,0.000148625
91,4001.62,1.08045,0.569,1.62582,0.87842,0.84931,0.92035,0.51344,1.54953,0.7441,2.07133,0.00013625,0.00013625,0.00013625
92,4040.98,1.06031,0.52541,1.60233,0.8887,0.81242,0.91509,0.51143,1.5236,0.75884,2.04235,0.000123875,0.000123875,0.000123875
93,4078.51,1.04005,0.51465,1.60037,0.89019,0.86034,0.92488,0.52546,1.50553,0.7205,2.01977,0.0001115,0.0001115,0.0001115
94,4119.97,1.03425,0.51365,1.58715,0.91404,0.82765,0.92613,0.5254,1.52682,0.71686,2.03581,9.9125e-05,9.9125e-05,9.9125e-05
95,4157.85,1.02474,0.50124,1.57851,0.8888,0.82646,0.92369,0.51904,1.52583,0.72001,2.03971,8.675e-05,8.675e-05,8.675e-05
96,4198.03,1.03122,0.50508,1.59627,0.82854,0.87772,0.9188,0.51334,1.53086,0.73838,2.06067,7.4375e-05,7.4375e-05,7.4375e-05
97,4237.05,1.02091,0.4962,1.57523,0.88769,0.8298,0.91902,0.50977,1.54007,0.72677,2.06048,6.2e-05,6.2e-05,6.2e-05
98,4277.46,1.02067,0.49916,1.58397,0.88403,0.83688,0.91484,0.51905,1.52183,0.72519,2.03848,4.9625e-05,4.9625e-05,4.9625e-05
99,4316.41,1.0101,0.48533,1.5752,0.87902,0.85889,0.92693,0.5208,1.5205,0.7252,2.03858,3.725e-05,3.725e-05,3.725e-05
100,4353.89,1.01317,0.48801,1.57416,0.88407,0.85298,0.92752,0.52077,1.52665,0.72222,2.04317,2.4875e-05,2.4875e-05,2.4875e-05
